iter	Passed	Remaining
729	1172	433
730	1174	432
731	1175	430
732	1176	428
733	1177	426
734	1178	424
735	1180	423
736	1181	421
737	1182	419
738	1183	417
739	1184	416
740	1186	414
741	1187	412
742	1188	411
743	1189	409
744	1191	407
745	1192	405
746	1193	404
747	1194	402
748	1195	400
749	1196	398
750	1197	397
751	1198	395
752	1199	393
753	1200	391
754	1202	390
755	1203	388
756	1204	386
757	1205	384
758	1206	383
759	1208	381
760	1209	379
761	1210	378
762	1211	376
763	1212	374
764	1213	372
765	1215	371
766	1216	369
767	1217	367
768	1219	366
769	1220	364
770	1221	362
771	1222	361
772	1223	359
773	1224	357
774	1226	355
775	1227	354
776	1228	352
777	1229	350
778	1231	349
779	1232	347
780	1233	346
781	1234	344
782	1235	342
783	1237	340
784	1238	339
785	1239	337
786	1240	335
787	1241	334
788	1242	332
789	1244	330
790	1246	329
791	1247	327
792	1248	325
793	1249	324
794	1250	322
795	1251	320
796	1252	319
797	1253	317
798	1254	315
799	1255	313
800	1257	312
801	1258	310
802	1259	309
803	1260	307
804	1262	305
805	1263	304
806	1264	302
807	1265	300
808	1266	299
809	1267	297
810	1268	295
811	1270	294
812	1271	292
813	1272	290
814	1274	289
815	1275	287
816	1276	285
817	1277	284
818	1278	282
819	1280	281
820	1281	279
821	1282	277
822	1283	276
823	1285	274
824	1286	272
825	1287	271
826	1288	269
827	1290	268
828	1291	266
829	1292	264
830	1293	263
831	1294	261
832	1295	259
833	1296	258
834	1297	256
835	1299	254
836	1300	253
837	1301	251
838	1303	250
839	1304	248
840	1305	246
841	1306	245
842	1307	243
843	1308	241
844	1309	240
845	1310	238
846	1311	236
847	1313	235
848	1313	233
849	1315	232
850	1316	230
851	1317	228
852	1318	227
853	1319	225
854	1321	224
855	1322	222
856	1323	220
857	1325	219
858	1326	217
859	1327	216
860	1328	214
861	1329	212
862	1329	211
863	1331	209
864	1332	207
865	1333	206
866	1334	204
867	1335	203
868	1336	201
869	1337	199
870	1338	198
871	1339	196
872	1340	195
873	1342	193
874	1343	191
875	1344	190
876	1345	188
877	1346	187
878	1347	185
879	1349	183
880	1350	182
881	1351	180
882	1352	179
883	1353	177
884	1354	176
885	1355	174
886	1356	172
887	1357	171
888	1358	169
889	1359	168
890	1360	166
891	1361	164
892	1362	163
893	1364	161
894	1365	160
895	1366	158
896	1367	156
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1371	149
902	1372	147
903	1373	145
904	1374	144
905	1375	142
906	1376	141
907	1377	139
908	1378	138
909	1379	136
910	1380	134
911	1381	133
912	1382	131
913	1383	130
914	1384	128
915	1385	127
916	1386	125
917	1387	123
918	1388	122
919	1389	120
920	1390	119
921	1391	117
922	1392	116
923	1393	114
924	1394	113
925	1395	111
926	1396	109
927	1397	108
928	1398	106
929	1398	105
930	1399	103
931	1400	102
932	1401	100
933	1402	99
934	1403	97
935	1404	96
936	1405	94
937	1406	92
938	1408	91
939	1409	89
940	1410	88
941	1411	86
942	1412	85
943	1412	83
944	1413	82
945	1414	80
946	1415	79
947	1416	77
948	1417	76
949	1418	74
950	1419	73
951	1420	71
952	1421	70
953	1422	68
954	1423	67
955	1424	65
956	1425	64
957	1426	62
958	1427	61
959	1428	59
960	1429	58
961	1430	56
962	1431	55
963	1432	53
964	1433	51
965	1434	50
966	1435	48
967	1436	47
968	1437	45
969	1438	44
970	1439	43
971	1440	41
972	1441	40
973	1443	38
974	1444	37
975	1444	35
976	1445	34
977	1446	32
978	1448	31
979	1449	29
980	1450	28
981	1451	26
982	1452	25
983	1453	23
984	1454	22
985	1455	20
986	1456	19
987	1457	17
988	1458	16
989	1459	14
990	1460	13
991	1461	11
992	1462	10
993	1463	8
994	1464	7
995	1465	5
996	1466	4
997	1467	2
998	1468	1
999	1469	0
